City Name,City Name (in Ukrainian),Subdivision,City status,Population (2001 Census)
Irshava,??????,Zakarpattia Oblast,R,"9,515"
Berezivka,?????????,Odessa Oblast,R,"9,481"
Ananyiv,???????,Odessa Oblast,R,"9,476"
Monastyrysche,???????????,Cherkasy Oblast,R,"9,463"
Lypovets,????????,Vinnytsia Oblast,R,"9,406"
Vylkove,???????,Odessa Oblast,R,"9,260"
Radekhiv,???????,Lviv Oblast,R,"9,230"
Mostyska,?????????,Lviv Oblast,R,"9,150"
Artemivsk,??????????,Luhansk Oblast,R,"9,097"
Novodruzhesk,????????????,Luhansk Oblast,R,"9,025"
Chervonozavodske,????????????????,Poltava Oblast,R,"9,024"
Alupka,??????,Crimea,R,"9,018"
Horokhiv,???????,Volyn Oblast,R,"9,015"
Pryvillia,????????,Luhansk Oblast,R,"9,004"
Chop,???,Zakarpattia Oblast,O,"8,919"
Zastavna,????????,Chernivtsi Oblast,R,"8,866"
Zorynsk,????????,Luhansk Oblast,R,"8,838"
Tlumach,??????,Ivano-Frankivsk Oblast,R,"8,831"
Teplodar,????????,Odessa Oblast,O,"8,830"
Lanivtsi,???????,Ternopil Oblast,R,"8,680"
Busk,?????,Lviv Oblast,R,"8,673"
Korets,??????,Rivne Oblast,R,"8,649"
Rohatyn,???????,Ivano-Frankivsk Oblast,R,"8,607"
Pivdenne,????????,Kharkiv Oblast,R,"8,516"
Dubliany,???????,Lviv Oblast,R,"8,469"
Rzhyschiv,??????,Kiev Oblast,O,"8,447"
Novoselytsia,??????????,Chernivtsi Oblast,R,"8,400"
Vorozhba,???????,Sumy Oblast,R,"8,384"
Kosiv,?????,Ivano-Frankivsk Oblast,R,"8,301"
Pochaiv,??????,Ternopil Oblast,R,"8,240"
Rava-Ruska,????-??????,Lviv Oblast,R,"8,070"
Molochansk,??????????,Zaporizhia Oblast,R,"7,964"
Yaremcha,??????,Ivano-Frankivsk Oblast,O,"7,850"
Turka,?????,Lviv Oblast,R,"7,681"
Kitsman,???????,Chernivtsi Oblast,R,"7,608"
Peremyshliany,???????????,Lviv Oblast,R,"7,565"
Ulianovka,?????????,Kirovohrad Oblast,R,"7,526"
